Blood_Pressure_Systolic,Blood_Pressure_Diastolic,Most_Listened_To_Song,Curse_Words_Per_Day,Starbucks_Visits_Per_Week,Party,Facebook_Friends,Avg_Drinks_Per_Day
118.63,84.5,Ed_Sheeran-Perfect,61.25,9.54,Know_It_Alls,127,0.01
116.49,80.28,Rage_Against_The_Machine-Testify,59.75,1.29,Know_Somethings,321,0.06
120.49,80.39,Drake-Gods_Plan,64.09,0.52,Federalists,449,0.01
116.19,81.81,Rage_Against_The_Machine-Testify,55.46,4.85,Know_Somethings,514,0.07
119.14,75.7,Drake-Gods_Plan,55.78,6.58,Know_It_Alls,262,0.2
118.52,80.29,Camila_Cabello-Havana,57.63,12.17,Know_It_Alls,203,0.09
120.67,78.85,Camila_Cabello-Havana,63.51,3.79,Know_Somethings,303,0.12
118.59,84.72,Camila_Cabello-Havana,58.16,8.96,Know_It_Alls,264,0.11
128.75,81.36,Drake-Gods_Plan,65.92,2.25,Federalists,288,0.1
115.89,82.81,Drake-Gods_Plan,56.02,0.27,Federalists,331,0.07
120.53,79.78,Other,63.89,4.99,Know_Nothings,349,0.06
122.12,86.99,Camila_Cabello-Havana,58.21,12.67,Know_It_Alls,335,0.2
114.4,75.7,Drake-Gods_Plan,55.24,8.87,Know_It_Alls,340,0.22
115.76,86.05,Rage_Against_The_Machine-Testify,59.46,19.4,Know_Somethings,183,0.44
121.27,82.04,Rage_Against_The_Machine-Testify,60.66,1.67,Know_Somethings,313,0.07
116.97,78.79,Camila_Cabello-Havana,60.06,4.72,Know_It_Alls,457,0.11
118.86,77.64,Ed_Sheeran-Perfect,60.69,15.11,Know_It_Alls,245,0.05
123.44,82.31,Drake-Gods_Plan,58.09,1.84,Federalists,453,0.01
120.69,80.96,Drake-Gods_Plan,61.47,8.52,Know_Somethings,460,0.06
116.35,78.01,Ed_Sheeran-Perfect,58.83,2.07,Federalists,283,0.05
116.63,76.95,Drake-Gods_Plan,61.14,27.41,Know_Nothings,448,0.08
117.32,81.42,ACDC-ThunderStruck,58.04,17.65,Federalists,355,0.18
116.26,85.55,Drake-Gods_Plan,57.59,6.36,Know_Nothings,237,0.19
123.67,77.51,Other,61.7,5.21,Know_Nothings,326,0.04
119.17,76.67,Other,61.31,2.33,Know_Nothings,208,0.09
116.71,80.61,Drake-Gods_Plan,58.33,2.17,Federalists,383,0.03
118.54,79.02,Mozart-Die_Zauberflote,59.69,5.92,Know_It_Alls,374,0.08
119.97,82,Mozart-Die_Zauberflote,61.93,3.47,Know_It_Alls,428,0.08
123.23,76.56,ACDC-ThunderStruck,60.44,4.63,Federalists,245,0
123.91,83.91,Drake-Gods_Plan,59.77,4.82,Know_Nothings,264,0.03
120.8,74.23,Other,60.62,4.95,Know_Nothings,378,0.17
121.19,82.89,Mozart-Die_Zauberflote,64.76,3.7,Know_It_Alls,423,0
116.66,78.39,Drake-Gods_Plan,63.45,2.96,Know_It_Alls,302,0.03
122.97,75.46,Drake-Gods_Plan,62.32,1.53,Federalists,523,0.16
123.23,80.99,Rage_Against_The_Machine-Testify,60.52,5.81,Know_Somethings,190,0.16
120.44,77.26,Rage_Against_The_Machine-Testify,61.74,2.61,Know_Somethings,532,0.01
116.54,79.97,Drake-Gods_Plan,59.2,3.18,Know_Somethings,227,0.03
116.01,80.99,Mozart-Die_Zauberflote,62.46,8.59,Know_It_Alls,352,0.06
118.6,89.17,Drake-Gods_Plan,61.91,2.48,Federalists,322,0.04
121.74,82.17,ACDC-ThunderStruck,57.59,10,Federalists,318,0.06
125.91,81.05,Drake-Gods_Plan,62.86,4.87,Know_Nothings,266,0.07
120.57,79.38,Drake-Gods_Plan,62.24,4.29,Know_Somethings,273,0.01
120.15,85.32,Other,62.85,13.65,Know_Nothings,331,0.09
121.28,79.33,Drake-Gods_Plan,60.22,18.14,Know_It_Alls,367,0.08
118.81,77.51,Ed_Sheeran-Perfect,58.75,5.6,Know_It_Alls,300,0.06
120.34,80.61,Ed_Sheeran-Perfect,62.95,0.98,Federalists,139,0.07
117.54,82.65,Drake-Gods_Plan,55.46,14.68,Know_It_Alls,472,0.03
118.64,79.61,Drake-Gods_Plan,58.1,19.43,Know_It_Alls,357,0.01
118.97,81.02,ACDC-ThunderStruck,60.05,1.66,Federalists,490,0.24
122.62,79.65,Camila_Cabello-Havana,61.87,1.28,Federalists,459,0.01
118.38,79.25,Camila_Cabello-Havana,59.06,9.08,Know_It_Alls,319,0.03
117.86,79.08,Ed_Sheeran-Perfect,63.72,3.72,Know_Somethings,473,0.13
118.55,80.55,Drake-Gods_Plan,57.97,8.85,Know_It_Alls,467,0.2
124.39,79.04,Mozart-Die_Zauberflote,65.81,8.93,Know_It_Alls,416,0.01
116.57,82.09,Ed_Sheeran-Perfect,62.45,4.46,Know_Somethings,326,0.14
118.68,87.16,Mozart-Die_Zauberflote,58.08,0.69,Know_It_Alls,430,0.02
117.14,76.48,Camila_Cabello-Havana,56.32,0.27,Federalists,397,0.02
124.39,76.74,Ed_Sheeran-Perfect,58.77,2.47,Federalists,305,0.04
122.93,80.77,Drake-Gods_Plan,62.48,3.97,Know_Nothings,397,0.05
117.72,81.11,Rage_Against_The_Machine-Testify,58.49,2.73,Know_Somethings,383,0.16
116.96,77.89,Drake-Gods_Plan,62.47,2.32,Federalists,321,0.02
118.76,81.23,Camila_Cabello-Havana,58.71,9.13,Know_It_Alls,450,0.11
123.67,94,Rage_Against_The_Machine-Testify,61.35,0.17,Know_Somethings,201,0.1
125.67,80.47,Camila_Cabello-Havana,65.35,6.9,Know_Nothings,428,0.04
118,91.64,Mozart-Die_Zauberflote,59.37,4.51,Know_It_Alls,207,0.13
120.46,80.77,Drake-Gods_Plan,61.38,12.11,Know_It_Alls,242,0.05
125.92,75.82,ACDC-ThunderStruck,67.87,5.95,Federalists,237,0.03
121.11,85.8,Rage_Against_The_Machine-Testify,59.48,4.21,Know_Somethings,266,0.16
126.93,79.79,Camila_Cabello-Havana,67.34,23.02,Know_Nothings,318,0.03
126.86,80.72,Other,60.94,3.64,Know_Nothings,282,0.21
118.44,81.64,Drake-Gods_Plan,57.34,1.81,Federalists,474,0.03
120.33,82.29,Camila_Cabello-Havana,59.72,3.19,Know_Nothings,356,0.03
125.21,77.01,Drake-Gods_Plan,60,5.86,Know_Somethings,417,0.07
118.88,78.57,Rage_Against_The_Machine-Testify,57.55,3.01,Know_Somethings,301,0.09
121.02,81.73,Camila_Cabello-Havana,58.19,3.78,Know_Nothings,417,0.13
134.38,78.97,Drake-Gods_Plan,66.5,11.33,Know_It_Alls,329,0.01
122.36,75.72,Drake-Gods_Plan,61.06,11.21,Know_It_Alls,173,0.11
120.11,78.81,Drake-Gods_Plan,61.58,2.53,Federalists,401,0.04
121.68,83.47,Ed_Sheeran-Perfect,64.69,1.23,Federalists,230,0.25
121.01,79.18,Other,60.47,1.34,Know_Nothings,237,0.15
124.83,79.13,Rage_Against_The_Machine-Testify,60.55,5.47,Know_Somethings,496,0.1
117.32,81.92,Camila_Cabello-Havana,58.99,12.14,Know_It_Alls,375,0.02
119.95,78.98,Camila_Cabello-Havana,58.71,1,Federalists,288,0.09
125.14,79.07,Other,63.14,8.97,Know_Nothings,449,0.06
122.76,81.29,Mozart-Die_Zauberflote,59.36,3.9,Know_It_Alls,311,0.16
117.05,80.45,ACDC-ThunderStruck,63.35,2.61,Federalists,361,0.02
118.51,84.36,Drake-Gods_Plan,62.03,3.51,Know_Nothings,337,0.07
121.07,84.27,Drake-Gods_Plan,61.26,1.08,Federalists,375,0.01
123.7,78.15,Drake-Gods_Plan,60.54,0.29,Federalists,226,0.01
120.19,89.37,Drake-Gods_Plan,61.11,9.89,Know_It_Alls,247,0
117.91,82.23,ACDC-ThunderStruck,60.14,16.09,Federalists,210,0
120.96,79.63,Ed_Sheeran-Perfect,62.4,20.31,Know_It_Alls,472,0.03
116.3,80.98,Mozart-Die_Zauberflote,58.96,2.55,Know_It_Alls,303,0.08
123.98,81.54,Camila_Cabello-Havana,60.4,1.23,Federalists,189,0.15
118.3,79.91,Other,60.44,2.84,Know_Nothings,400,0.06
120.24,79.16,Ed_Sheeran-Perfect,63.63,1.33,Federalists,315,0.15
118.11,78.1,Camila_Cabello-Havana,62.74,6.91,Know_It_Alls,480,0.03
119.05,77.78,Camila_Cabello-Havana,61.56,11.18,Know_It_Alls,388,0.18
119.15,79.3,Drake-Gods_Plan,57.85,2.06,Federalists,333,0.11
116.7,75.59,Drake-Gods_Plan,59.85,42.18,Know_Nothings,306,0.04
122.07,77.78,Other,59.02,4.19,Know_Nothings,330,0.11
115.8,79.26,Other,56.37,5.45,Know_Nothings,294,0.14
130.34,79.66,Camila_Cabello-Havana,66.56,1.86,Federalists,244,0.04
119.2,79.49,Drake-Gods_Plan,61.81,13.77,Know_It_Alls,264,0.01
119.47,80.94,Ed_Sheeran-Perfect,62.09,3.36,Know_Somethings,308,0.08
115.85,81.28,Camila_Cabello-Havana,55.76,1.84,Federalists,228,0.03
126.23,77.92,Drake-Gods_Plan,66.45,3.41,Know_Somethings,479,0.14
122.99,86.16,Drake-Gods_Plan,63.64,6.29,Federalists,311,0.13
115.98,79.74,Other,61.75,4.27,Know_Nothings,267,0.02
121.84,80.92,Rage_Against_The_Machine-Testify,65.41,23.48,Know_Somethings,135,0.02
117.85,77.43,Drake-Gods_Plan,59.1,2.51,Federalists,369,0.13
118.62,80.23,Other,60.68,0.14,Know_Nothings,413,0.03
118.42,82.73,Camila_Cabello-Havana,60.42,5.5,Know_Somethings,434,0.15
123.68,81.71,Ed_Sheeran-Perfect,67.21,9.42,Know_It_Alls,335,0.03
119.67,84.09,Other,61.1,4.24,Know_Nothings,393,0.16
116.96,83.05,Ed_Sheeran-Perfect,59.83,12.3,Know_It_Alls,304,0.01
122.16,84.45,Drake-Gods_Plan,66.35,7.76,Know_Nothings,319,0.07
119.08,75.56,Rage_Against_The_Machine-Testify,58.27,6.8,Know_Somethings,332,0.07
118.13,82.62,ACDC-ThunderStruck,60.6,8.28,Federalists,402,0.16
117.76,76.51,Other,56.53,15.69,Know_Nothings,342,0.04
128.93,80.05,Ed_Sheeran-Perfect,65.88,21.89,Know_Nothings,446,0.21
122.13,84.96,Ed_Sheeran-Perfect,56.34,4.24,Know_Nothings,233,0.12
121.47,80.29,Ed_Sheeran-Perfect,67.24,1.09,Federalists,351,0.04
117.07,82.99,Drake-Gods_Plan,61.45,0.88,Federalists,246,0.01
118.52,76.05,Ed_Sheeran-Perfect,59.04,0.42,Federalists,209,0.09
116.1,78.88,Ed_Sheeran-Perfect,59.46,1.15,Federalists,304,0.13
116.21,77.15,Drake-Gods_Plan,60.52,5.55,Know_It_Alls,502,0.07
122.63,79.01,ACDC-ThunderStruck,61.06,14.93,Federalists,271,0.33
121.01,80.55,Ed_Sheeran-Perfect,61.94,9.75,Know_It_Alls,155,0.12
118.32,81.72,ACDC-ThunderStruck,59.57,2.8,Federalists,287,0.07
117.54,75.93,Rage_Against_The_Machine-Testify,61.42,1.35,Know_Somethings,478,0.05
118.54,78.26,Drake-Gods_Plan,60.86,5.97,Know_Somethings,294,0.07
128.7,82.7,Other,66.25,9.19,Know_Nothings,306,0.07
121.68,90.71,Other,63.13,0.41,Know_Nothings,300,0.07
115.64,79.5,Rage_Against_The_Machine-Testify,60.4,1.38,Know_Somethings,380,0.09
116.85,79.77,Mozart-Die_Zauberflote,59,0.11,Know_It_Alls,149,0.02
118.37,77.52,Camila_Cabello-Havana,60.03,8.28,Know_It_Alls,178,0.03
119.34,83.89,Drake-Gods_Plan,56.71,8.61,Know_Nothings,300,0.17
116.15,81.77,ACDC-ThunderStruck,58.44,2.06,Federalists,248,0.24
121.43,77.67,Ed_Sheeran-Perfect,62.12,5.55,Know_Somethings,76,0.12
116.77,80.6,Rage_Against_The_Machine-Testify,62.01,16.28,Know_Somethings,548,0.01
121.52,84.43,ACDC-ThunderStruck,60.51,2.5,Federalists,322,0.11
120.46,83.34,Rage_Against_The_Machine-Testify,61.62,1.96,Know_Somethings,171,0.02
121.34,74.97,Ed_Sheeran-Perfect,63.04,7.29,Know_It_Alls,247,0.02
118.8,77.71,Mozart-Die_Zauberflote,60.26,3.56,Know_It_Alls,386,0.23
118.09,80.76,Ed_Sheeran-Perfect,61.84,18.56,Know_It_Alls,226,0.01
118.64,79.91,Ed_Sheeran-Perfect,63.15,0.74,Federalists,458,0.1
119.44,78.2,Ed_Sheeran-Perfect,62.17,3.67,Know_Somethings,436,0.07
123.67,80.29,Mozart-Die_Zauberflote,63,0.16,Know_It_Alls,274,0.24
125.6,78.37,Ed_Sheeran-Perfect,62.82,10.98,Know_It_Alls,242,0.04
118.27,79.27,Camila_Cabello-Havana,58.96,1.03,Federalists,429,0.01
116.23,78,Rage_Against_The_Machine-Testify,57.27,3.19,Know_Somethings,476,0.03
116.99,80.39,Ed_Sheeran-Perfect,59.68,3.06,Know_Somethings,394,0
121.94,80.53,Drake-Gods_Plan,56.25,8.72,Know_Somethings,276,0.33
124.72,78.57,Other,63.55,6.18,Know_Nothings,443,0.03
117.25,79.18,ACDC-ThunderStruck,59.65,1.54,Federalists,173,0.09
117.63,88.67,Rage_Against_The_Machine-Testify,60.57,5.65,Know_Somethings,488,0.06
120.39,79.8,Camila_Cabello-Havana,58.66,5.48,Know_Somethings,375,0.09
121.94,83.41,Drake-Gods_Plan,62.84,7.28,Know_Nothings,338,0.07
114.22,77.82,Other,56.55,6.9,Know_Nothings,160,0.03
126.05,85.71,Rage_Against_The_Machine-Testify,67.54,0.58,Know_Somethings,190,0.1
121.9,81.71,Rage_Against_The_Machine-Testify,57.57,1.32,Know_Somethings,516,0.01
121.14,80.18,Ed_Sheeran-Perfect,60.31,11.19,Know_It_Alls,257,0.01
119.67,78.88,Drake-Gods_Plan,59.92,29.74,Know_Nothings,241,0.01
117.66,85.27,Ed_Sheeran-Perfect,57.15,9.98,Know_It_Alls,426,0
119.2,78.06,Drake-Gods_Plan,60.37,1.29,Federalists,488,0.06
118.05,77.91,Mozart-Die_Zauberflote,58.6,6.18,Know_It_Alls,318,0.08
121.56,82.25,Ed_Sheeran-Perfect,60.79,8.8,Know_Nothings,379,0.07
125.64,82.85,Camila_Cabello-Havana,62.94,10.89,Know_It_Alls,372,0.32
119.04,79.95,Other,62.94,4.84,Know_Nothings,270,0.02
116.38,84.99,Drake-Gods_Plan,63.11,15.63,Know_It_Alls,393,0.03
124.13,81.22,Ed_Sheeran-Perfect,67.46,1.68,Federalists,396,0.11
118.61,79.02,Rage_Against_The_Machine-Testify,58.76,0.17,Know_Somethings,461,0.14
115.34,79.38,ACDC-ThunderStruck,56.75,6.19,Federalists,510,0.04
124.93,79.3,Rage_Against_The_Machine-Testify,63.51,0.93,Know_Somethings,240,0.22
116.53,87.46,Rage_Against_The_Machine-Testify,59.31,24.09,Know_Somethings,298,0.05
117.78,82.44,Ed_Sheeran-Perfect,63.63,3.86,Know_Somethings,238,0.09
125.43,78.31,Ed_Sheeran-Perfect,62.82,14.91,Know_It_Alls,476,0.14
117.7,80.1,Drake-Gods_Plan,58.76,1.9,Federalists,236,0.01
116.46,79.92,Ed_Sheeran-Perfect,57.98,5.75,Know_Somethings,271,0.14
122.04,81.29,Drake-Gods_Plan,61.09,8.64,Know_Nothings,347,0.14
118.16,87.28,Camila_Cabello-Havana,60.45,10.39,Know_It_Alls,251,0.03
122.89,84.74,Mozart-Die_Zauberflote,64.7,5.54,Know_It_Alls,170,0.02
116.42,78.35,Other,62.76,1.25,Know_Nothings,261,0
116.5,79.87,Drake-Gods_Plan,60.41,16.61,Know_It_Alls,480,0.04
115.08,75.59,Ed_Sheeran-Perfect,57.67,10.52,Know_It_Alls,447,0.47
118.35,78.14,Rage_Against_The_Machine-Testify,59.97,0.13,Know_Somethings,269,0.1
119.38,82.45,Rage_Against_The_Machine-Testify,62.07,0.75,Know_Somethings,402,0.02
118.49,82.6,Drake-Gods_Plan,57.19,1.45,Federalists,400,0.03
122,83.64,ACDC-ThunderStruck,59.87,4.05,Federalists,435,0
115.21,83.35,Ed_Sheeran-Perfect,58.15,2.54,Federalists,463,0
119.66,82.37,Camila_Cabello-Havana,59.58,1.86,Federalists,398,0.07
116.28,78.47,ACDC-ThunderStruck,59.76,0.6,Federalists,330,0.02
120.51,81.26,Ed_Sheeran-Perfect,58.49,7.83,Know_Somethings,345,0.02
118.4,78.79,Ed_Sheeran-Perfect,62.37,4.11,Know_Somethings,454,0.07
124.32,80.99,Ed_Sheeran-Perfect,61.39,0.89,Federalists,400,0.1
120.74,82.87,Ed_Sheeran-Perfect,59.89,32.68,Know_Nothings,206,0.1
115.91,77.42,Drake-Gods_Plan,63.88,17.87,Know_It_Alls,465,0.05
115.97,79.08,Other,57.7,1.25,Know_Nothings,318,0.37
117.15,79.2,Camila_Cabello-Havana,59,6.35,Know_Somethings,226,0.1
120.74,83.15,Drake-Gods_Plan,63.22,6.6,Know_Nothings,266,0.03
119.54,79.6,ACDC-ThunderStruck,58.03,8.51,Federalists,498,0.12
115.23,89.94,ACDC-ThunderStruck,59.27,0.15,Federalists,400,0.24
114.14,80.63,Mozart-Die_Zauberflote,58.46,11.81,Know_It_Alls,48,0.01
117.09,77.41,Ed_Sheeran-Perfect,58.15,0.25,Federalists,407,0.05
117.61,78.85,Rage_Against_The_Machine-Testify,63.57,0.43,Know_Somethings,555,0.12
117.48,79.62,Camila_Cabello-Havana,63.48,18.23,Know_It_Alls,406,0.12
120.72,77.46,Ed_Sheeran-Perfect,62.09,23.01,Know_Nothings,254,0.1
119.4,78.53,Ed_Sheeran-Perfect,62.27,17.57,Know_It_Alls,385,0.05
120.25,79.1,Rage_Against_The_Machine-Testify,65.22,0.45,Know_Somethings,576,0.07
121.78,81.38,Drake-Gods_Plan,61.23,5.96,Know_Nothings,327,0.04
123.07,78.72,Camila_Cabello-Havana,64.67,3.92,Know_Somethings,308,0
116.54,77.78,Camila_Cabello-Havana,61.77,12.38,Know_It_Alls,488,0.16
117.09,81.91,Ed_Sheeran-Perfect,58.17,1.25,Federalists,272,0.11
120.09,79.04,ACDC-ThunderStruck,62.62,22.84,Federalists,518,0.04
121.17,77.08,Ed_Sheeran-Perfect,62.32,2.48,Federalists,528,0
122.31,78.08,Mozart-Die_Zauberflote,63.03,4.73,Know_It_Alls,362,0.02
117.15,76.39,Ed_Sheeran-Perfect,62.63,16.54,Know_It_Alls,333,0.07
117.4,81.68,Camila_Cabello-Havana,58.12,6.35,Know_Somethings,681,0.06
122.29,78.21,Rage_Against_The_Machine-Testify,65.71,8.65,Know_Somethings,484,0.02
120.31,76.27,Mozart-Die_Zauberflote,60.79,0.71,Know_It_Alls,416,0.55
118.27,78.23,Ed_Sheeran-Perfect,55.88,3.99,Know_Somethings,201,0.25
121.11,77.41,Drake-Gods_Plan,60.78,1.13,Federalists,350,0.13
119.34,84.5,Ed_Sheeran-Perfect,61.12,1.28,Federalists,176,0.1
116.42,77.74,Rage_Against_The_Machine-Testify,61.35,1.73,Know_Somethings,439,0.09
118.17,76.05,Camila_Cabello-Havana,60.7,10.79,Know_It_Alls,418,0.22
120.92,78.84,Drake-Gods_Plan,61.86,2.38,Federalists,444,0.11
121.23,80.69,Camila_Cabello-Havana,65.27,1.1,Federalists,494,0.12
117.84,79.17,Rage_Against_The_Machine-Testify,61.29,1.3,Know_Somethings,311,0.07
120.11,82.07,Camila_Cabello-Havana,60.23,9.97,Know_It_Alls,421,0.31
131.09,78.86,Ed_Sheeran-Perfect,68.71,3.61,Know_Nothings,326,0.24
117.4,80.56,Camila_Cabello-Havana,59.62,3.78,Know_Somethings,433,0.01
119.82,79.1,Mozart-Die_Zauberflote,58.88,4.56,Know_It_Alls,238,0.06
125.6,78.78,Ed_Sheeran-Perfect,65.43,3.71,Know_Nothings,344,0.01
120.25,80.87,Camila_Cabello-Havana,60.25,2.06,Federalists,283,0.07
116.75,77.65,Other,59.81,1.52,Know_Nothings,353,0.02
119.11,78.71,Camila_Cabello-Havana,63.25,24.97,Know_Nothings,373,0.02
122.65,80.89,Rage_Against_The_Machine-Testify,63.96,5.64,Know_Somethings,471,0.05
116.95,83.23,Ed_Sheeran-Perfect,61.38,3,Know_Somethings,260,0.03
115.06,80.89,Ed_Sheeran-Perfect,62.4,2.09,Federalists,358,0.23
118.03,77.74,ACDC-ThunderStruck,63.3,15.54,Federalists,437,0.15
120.17,84.86,Rage_Against_The_Machine-Testify,62.28,3.4,Know_Somethings,478,0.03
119.04,76.52,Ed_Sheeran-Perfect,62.53,2.8,Federalists,267,0
126.93,77.26,Mozart-Die_Zauberflote,65.48,5.26,Know_It_Alls,230,0.03
116.69,79.93,ACDC-ThunderStruck,59.56,0.98,Federalists,269,0.12
118.07,83.35,Camila_Cabello-Havana,60.15,21.61,Know_Nothings,210,0.1
121.68,82.09,Drake-Gods_Plan,63.28,1.63,Federalists,396,0.03
119.42,79.31,Camila_Cabello-Havana,60.47,1.01,Federalists,406,0.04
121.6,78.39,Ed_Sheeran-Perfect,60.63,20.41,Know_It_Alls,365,0.01
128.83,80.88,Rage_Against_The_Machine-Testify,68.25,18.01,Know_Somethings,412,0.08
118.16,80.36,Camila_Cabello-Havana,59.22,5.82,Know_Somethings,180,0.05
118.43,78.84,Ed_Sheeran-Perfect,60.72,1.62,Federalists,321,0.07
122,89.9,Other,57.86,1.91,Know_Nothings,346,0.01
118.05,85.33,Ed_Sheeran-Perfect,59.18,7.64,Know_Nothings,364,0.01
118.21,82.3,Drake-Gods_Plan,59.27,5.36,Know_Somethings,573,0.02
124.17,78.42,Ed_Sheeran-Perfect,67.09,9.62,Know_It_Alls,271,0.01
120.43,79.67,ACDC-ThunderStruck,60.43,14.06,Federalists,386,0.19
121.99,81.24,Drake-Gods_Plan,62,11.57,Know_It_Alls,145,0.13
116.45,80.54,Drake-Gods_Plan,61.44,0.28,Federalists,524,0.09
120.17,80.53,Drake-Gods_Plan,60.5,44.74,Know_Nothings,148,0.03
124.91,77.74,Ed_Sheeran-Perfect,66.34,2.31,Federalists,388,0.01
119.45,79.46,Drake-Gods_Plan,62.71,0.01,Federalists,110,0.19
124.28,83.27,Mozart-Die_Zauberflote,64.04,10.44,Know_It_Alls,401,0
120.67,81.89,Ed_Sheeran-Perfect,61.12,4.36,Know_Nothings,386,0.01
126.83,77.66,ACDC-ThunderStruck,62.85,1.1,Federalists,183,0
123,77.36,Mozart-Die_Zauberflote,62.32,9.15,Know_It_Alls,508,0.08
122.47,81.22,Rage_Against_The_Machine-Testify,62.87,4.41,Know_Somethings,406,0.04
123.13,77.76,Drake-Gods_Plan,61.65,2.38,Federalists,455,0.19
114.64,76.8,Drake-Gods_Plan,60.63,2.46,Federalists,287,0.03
122.27,78.22,Drake-Gods_Plan,65.8,7.16,Know_Somethings,506,0.23
119.66,79.67,Drake-Gods_Plan,60.72,7.62,Know_Somethings,340,0.01
122.57,76.27,Ed_Sheeran-Perfect,65.11,4.44,Know_Somethings,336,0
121.2,80.14,Other,61.16,5.47,Know_Nothings,303,0.19
119.31,77.36,Rage_Against_The_Machine-Testify,61.11,3.74,Know_Somethings,336,0.01
