"MEETINGS: ""None""",,
"DRINK: ""RedWine""",,
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""None""",
"SYMPTOMS: ""Ear Pain"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None"""," DRINK: ""RedWine"""
"MEETINGS: ""Many"""," DRINK: ""Whisky""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many"""," DRINK: ""Beer"""
"MEETINGS: ""None"""," DRINK: ""Beer""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None"""," DRINK: ""Beer"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Few"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Few""",
"SYMPTOMS: ""Sinus"""," DRINK: ""Bourbon""",
"MEETINGS: ""None"""," DRINK: ""WhiteWine""",
"SYMPTOMS: ""Dizzy"""," DRINK: ""Whisky""",
"SYMPTOMS: ""Headache"""," DRINK: ""None""",
"SYMPTOMS: ""WateryEyes"""," DRINK: ""RedWine""",
"SYMPTOMS: ""Ear Pain"""," DRINK: ""Whisky""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many"""," DRINK: ""RedWine"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""None"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Headache""",,
"SYMPTOMS: ""Ear Pain""",,
"SYMPTOMS: ""Headache"""," MEETINGS: ""Many""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""None""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few"""," DRINK: ""None"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""None"""," DRINK: ""None"""
"SYMPTOMS: ""Ear Pain"""," DRINK: ""None""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Headache"""," DRINK: ""RedWine""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many"""," DRINK: ""None"""
"SYMPTOMS: ""Ear Pain"""," DRINK: ""Beer""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None"""," DRINK: ""RedWine"""
"SYMPTOMS: ""WateryEyes""",,
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""Many"""," DRINK: ""None"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Few"""," DRINK: ""None"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few"""," DRINK: ""None"""
"SYMPTOMS: ""WateryEyes"""," DRINK: ""Whisky""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""None"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""WateryEyes"""," DRINK: ""None""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""None"""," DRINK: ""Whisky"""
"MEETINGS: ""Few"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""Dizzy""",,
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None"""," DRINK: ""None"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None"""," DRINK: ""Beer"""
"MEETINGS: ""Few"""," DRINK: ""Beer""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few"""," DRINK: ""Beer"""
"SYMPTOMS: ""Dizzy"""," DRINK: ""None""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Few""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""None"""
"SYMPTOMS: ""Ear Pain"""," DRINK: ""RedWine""",
"SYMPTOMS: ""Sinus"""," DRINK: ""WhiteWine""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""None"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Few"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None""",
"SYMPTOMS: ""Dizzy"""," DRINK: ""WhiteWine""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many"""," DRINK: ""Whisky"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None"""," DRINK: ""None"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Many"""," DRINK: ""RedWine"""
"MEETINGS: ""Many"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many"""," DRINK: ""None"""
"SYMPTOMS: ""Headache"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Many"""," DRINK: ""Beer"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""None"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None"""," DRINK: ""RedWine"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Few"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Dizzy"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""Dizzy"""," DRINK: ""Beer""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few"""," DRINK: ""Whisky"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Many"""," DRINK: ""Beer"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few"""," DRINK: ""Beer"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Few"""," DRINK: ""Beer"""
"SYMPTOMS: ""Headache"""," DRINK: ""Beer""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Few"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None"""," DRINK: ""Beer"""
"SYMPTOMS: ""WateryEyes"""," DRINK: ""Beer""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""None"""," DRINK: ""Beer"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Few"""," DRINK: ""Beer"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None"""," DRINK: ""Bourbon"""
