Player,height,weight,collage,born,birth_city,birth_state,Num_of_Seasons,Num_of_Pos,Avg_Age,Num_of_Tms,Avg_Games,Avg_GS,Avg_MP,Avg_PER,Avg_TS%,Avg_3PAr,Avg_FTr,Avg_ORB%,Avg_DRB%,Avg_TRB%,Avg_AST%,Avg_STL%,Avg_BLK%,Avg_TOV%,Avg_USG%,Avg_OWS,Avg_DWS,Avg_WS,Avg_WS/48,Avg_OBPM,Avg_DBPM,Avg_BMP,Avg_VORP,Avg_FG,Avg_FGA,Avg_FG%,Avg_3P,Avg_3PA,Avg_3P%,Avg_2P,Avg_2PA,Avg_2P%,Avg_eFG%,Avg_FT,Avg_FTA,Avg_FT%,Avg_ORB,Avg_DRB,Avg_TRB,Avg_AST,Avg_STL,Avg_BLK,Avg_TOV,Avg_PF,Avg_PTS
"Mike Muscala",211,108,"Bucknell University",1991,"St. Louis Park",Minnesota,3,2,24.00,1,56.67,3.67,768.00,15.33,0.59,0.24,0.20,8.87,14.70,11.83,9.67,1.30,3.27,12.80,15.67,1.23,1.07,2.30,0.15,-0.53,1.30,0.77,0.57,109.67,213.33,0.52,22.33,57.00,0.38,87.33,156.33,0.56,0.56,34.00,42.67,0.81,55.33,103.33,158.67,51.33,19.67,29.00,34.33,73.67,275.67
"Mike Newlin",193,90,"University of Utah",1949,Portland,Oregon,11,1,28.00,3,76.09,32.00,2234.00,15.06,0.53,0.06,0.34,3.00,7.12,5.32,19.22,1.59,0.18,15.74,22.70,3.45,1.12,4.59,0.09,1.39,-1.88,-0.52,1.03,429.09,921.18,0.46,20.67,68.33,0.31,423.45,902.55,0.47,0.47,273.18,314.18,0.86,62.11,151.89,226.73,305.82,78.00,6.44,175.60,231.09,1137.00
"Mike O'Koren",201,93,"University of North Carolina",1958,"Jersey City","New Jersey",6,1,24.50,1,64.67,22.20,1439.17,11.98,0.52,0.05,0.20,5.82,11.43,8.57,13.35,1.65,0.60,14.43,16.98,0.93,1.53,2.42,0.08,-0.98,0.25,-0.73,0.55,237.33,483.67,0.49,5.83,21.00,0.28,231.50,462.67,0.50,0.50,70.33,107.00,0.65,80.33,148.50,228.83,140.17,51.00,14.50,89.17,147.00,550.83
"Mike Penberthy",190,83,"Master's College",1974,"Los Gatos",California,1,1,26.00,1,53.00,0.00,851.00,11.20,0.57,0.63,0.14,1.30,7.00,4.20,12.40,1.40,0.20,12.60,14.20,1.30,0.20,1.60,0.09,0.80,-2.80,-2.00,0.00,92.00,222.00,0.41,55.00,139.00,0.40,37.00,83.00,0.45,0.54,28.00,31.00,0.90,10.00,53.00,63.00,71.00,22.00,2.00,34.00,57.00,267.00
"Mike Peplowski",208,122,"Michigan State University",1970,Detroit,Michigan,1,1,23.00,1,55.00,19.00,667.00,9.60,0.55,0.01,0.31,7.90,20.10,13.80,5.20,1.30,2.40,17.50,12.30,0.30,0.70,0.90,0.07,-3.70,0.60,-3.10,-0.20,76.00,141.00,0.54,0.00,1.00,0.00,76.00,140.00,0.54,0.54,24.00,44.00,0.55,49.00,120.00,169.00,24.00,17.00,25.00,34.00,131.00,176.00
"Mike Price",190,90,"University of Illinois at Urbana-Champaign",1948,Russellville,Kentucky,1,1,24.00,1,57.00,,751.00,10.40,0.45,,0.16,,,6.90,13.30,,,,,-0.20,0.40,0.20,0.01,,,,,125.00,301.00,0.41,,,,125.00,301.00,0.41,0.41,38.00,47.00,0.81,,,117.00,71.00,,,,106.00,288.00
"Mike Ratliff",208,104,"University of Wisconsin-Eau Claire",1951,"New Albany",Mississippi,1,1,21.00,1,58.00,,681.00,10.20,0.44,,0.36,,,14.80,7.20,,,,,-0.30,0.10,-0.20,-0.01,,,,,98.00,235.00,0.42,,,,98.00,235.00,0.42,0.42,45.00,84.00,0.54,,,194.00,38.00,,,,111.00,241.00
"Mike Riordan",193,90,"Providence College",1945,"New York","New York",7,2,26.78,5,66.00,,1842.33,11.03,0.48,,0.19,3.33,8.03,4.84,12.31,1.40,0.20,,,1.82,2.12,3.94,0.07,-1.07,0.10,-0.97,0.83,324.78,683.89,0.46,,,,324.78,683.89,0.46,0.46,92.56,125.11,0.65,84.67,199.00,208.22,176.00,76.00,11.00,,165.89,742.11
"Mike Sanders",198,95,"University of California, Los Angeles",1960,Vidalia,Louisiana,9,1,28.23,4,53.15,18.00,1007.38,11.64,0.54,0.01,0.24,5.47,10.67,8.17,10.71,1.72,0.91,13.07,17.88,0.58,0.91,1.49,0.07,-1.55,-0.57,-2.13,0.03,173.15,356.23,0.50,1.54,6.77,0.21,171.62,349.46,0.50,0.50,63.69,82.54,0.77,52.00,97.92,149.92,72.38,36.77,16.54,57.00,136.38,411.54
"Mike Scott",203,107,"University of Virginia",1988,Chesapeake,Virginia,3,1,26.00,1,74.33,2.00,1250.33,14.80,0.56,0.39,0.18,4.93,15.53,10.33,10.10,1.07,0.60,9.03,20.77,1.53,1.27,2.83,0.11,-0.10,-1.60,-1.73,0.03,226.00,485.67,0.46,63.33,183.33,0.35,162.67,302.33,0.53,0.53,71.33,90.67,0.79,53.33,176.33,229.67,76.00,26.67,9.00,53.33,102.00,586.67
"Mike Smrek",213,113,"Canisius College",1962,Welland,Canada,1,1,26.00,1,43.00,18.00,623.00,9.00,0.52,0.00,0.50,7.10,16.10,11.40,2.50,1.00,5.60,20.50,14.60,-0.30,0.70,0.40,0.03,-5.70,1.10,-4.60,-0.40,72.00,153.00,0.47,0.00,0.00,,72.00,153.00,0.47,0.47,49.00,76.00,0.64,42.00,87.00,129.00,12.00,13.00,58.00,48.00,102.00,193.00
"Mike Sojourner",206,102,"University of Utah",1953,Philadelphia,Pennsylvania,3,2,22.00,1,63.67,,1427.33,13.57,0.50,,0.23,8.57,20.73,14.43,5.83,1.00,1.20,,,1.47,1.23,2.77,0.09,-1.97,-0.70,-2.70,-0.10,240.33,500.67,0.48,,,,240.33,500.67,0.48,0.48,72.00,107.33,0.68,123.67,288.67,412.33,57.33,29.33,35.33,,152.33,552.67
"Mike Sweetney",203,124,"Georgetown University",1982,"Oxon Hill",Maryland,2,1,22.50,2,71.50,36.00,1365.50,15.15,0.55,0.00,0.49,12.10,20.60,16.40,6.55,0.85,2.50,15.75,21.55,1.40,1.60,2.95,0.10,-2.10,0.00,-2.10,0.00,218.50,445.00,0.49,0.00,0.50,0.00,218.50,444.50,0.49,0.49,154.50,219.50,0.70,143.50,240.50,384.00,51.50,23.00,42.00,101.50,216.50,591.50
"Mike Taylor",188,74,"Iowa State University",1986,Chicago,Illinois,1,1,23.00,1,51.00,5.00,771.00,10.10,0.48,0.15,0.30,3.20,10.00,6.50,22.90,2.40,0.00,19.40,22.20,-0.90,0.40,-0.40,-0.03,-3.80,-1.70,-5.50,-0.70,110.00,267.00,0.41,13.00,40.00,0.32,97.00,227.00,0.43,0.44,56.00,81.00,0.69,22.00,65.00,87.00,106.00,36.00,0.00,73.00,84.00,289.00
"Mike Wilks",178,83,"Rice University",1979,Milwaukee,Wisconsin,3,3,24.86,5,33.29,2.57,372.29,8.99,0.44,0.20,0.41,3.29,9.17,6.26,18.10,2.09,0.34,16.16,15.73,0.03,0.19,0.23,0.02,-3.03,-1.26,-4.29,-0.19,32.00,88.14,0.35,4.43,17.57,0.24,27.57,70.57,0.38,0.38,22.43,31.14,0.71,10.43,28.71,39.14,46.71,13.86,2.00,19.29,37.00,90.86
"Mike Woodson",196,88,"Indiana University",1958,Indianapolis,Indiana,10,1,25.92,7,71.17,40.91,1848.42,14.78,0.52,0.04,0.29,3.70,6.73,5.19,13.66,2.26,0.79,11.10,23.48,1.80,1.56,3.39,0.09,-0.22,-0.93,-1.16,0.62,406.67,863.00,0.46,10.50,38.42,0.23,396.17,824.58,0.47,0.47,194.58,240.67,0.79,62.83,109.83,172.67,169.08,90.75,25.42,122.67,170.75,1018.42
"Mikki Moore",211,102,"University of Nebraska",1975,Orangeburg,"South Carolina",7,3,30.00,8,51.55,16.45,961.45,10.07,0.55,0.00,0.35,9.05,16.60,12.84,6.15,0.78,1.89,15.55,14.77,1.19,0.81,2.00,0.07,-2.85,-0.65,-3.48,0.15,113.45,207.64,0.50,0.09,1.00,0.04,113.36,206.64,0.50,0.50,63.45,85.18,0.77,70.64,136.00,206.64,37.18,16.27,25.27,49.09,144.00,290.45
"Miles Plumlee",211,112,"Duke University",1988,"Fort Wayne",Indiana,4,1,26.75,4,47.13,21.63,773.75,12.36,0.54,0.00,0.26,10.24,17.55,13.89,4.64,1.65,3.60,17.12,13.56,0.53,1.00,1.52,0.09,-3.22,1.27,-1.92,0.10,98.25,184.75,0.52,0.00,0.00,,98.25,184.75,0.52,0.52,25.25,45.13,0.56,74.00,137.00,211.00,21.13,23.63,37.25,39.13,78.25,221.75
"Milt Palacio",190,88,"Colorado State University",1978,"Los Angeles",California,6,3,24.13,6,60.75,11.13,1102.13,9.84,0.47,0.12,0.32,1.79,9.02,5.34,21.48,1.90,0.49,18.11,16.27,-0.14,0.78,0.64,0.03,-3.61,-1.11,-4.73,-0.71,112.75,272.00,0.41,6.63,26.13,0.22,106.13,245.88,0.42,0.42,63.63,87.50,0.73,19.13,87.50,106.63,153.63,39.00,7.75,74.00,89.25,295.75
"Milt Williams",188,82,"Lincoln University of Missouri",1945,Seattle,Washington,1,1,28.00,1,53.00,,505.00,11.90,0.47,,0.42,3.50,5.60,4.50,26.00,2.20,0.00,,,0.10,0.30,0.40,0.04,-1.40,-2.00,-3.40,-0.20,62.00,149.00,0.42,,,,62.00,149.00,0.42,0.42,41.00,63.00,0.65,19.00,28.00,47.00,103.00,25.00,0.00,,82.00,165.00
"Mirza Teletovic",206,109,,1985,Mostar,"Bosnia and Herzegovina",4,2,29.50,3,65.25,3.50,1276.75,12.50,0.54,0.65,0.14,3.30,17.55,10.40,7.67,0.82,1.20,9.78,20.78,1.03,0.88,1.90,0.06,0.22,-2.30,-2.12,0.08,207.75,510.75,0.40,120.75,326.75,0.36,87.00,184.00,0.47,0.52,58.00,77.00,0.74,38.25,192.75,231.00,60.00,21.75,18.25,57.00,121.25,594.25
"Mitch Kupchak",206,104,"University of North Carolina",1954,Hicksville,"New York",7,2,26.14,2,62.29,9.67,1304.29,15.91,0.57,0.00,0.43,10.49,18.26,14.44,5.06,0.79,0.90,14.72,20.55,2.33,1.50,3.83,0.13,0.09,-1.30,-1.23,0.43,270.71,509.14,0.53,0.00,0.50,0.00,270.71,508.86,0.53,0.53,160.29,227.00,0.70,128.00,234.57,362.57,50.57,21.71,23.14,103.33,146.00,701.71
"Mitch Richmond*",196,97,"Kansas State University",1965,"Fort Lauderdale",Florida,14,1,29.50,4,69.71,64.43,2450.64,16.97,0.55,0.22,0.33,2.66,9.57,6.10,16.41,1.74,0.49,12.38,25.48,4.22,1.44,5.66,0.10,2.14,-1.70,0.43,1.78,521.79,1145.57,0.45,94.71,244.07,0.37,427.07,901.50,0.47,0.49,325.79,383.21,0.86,62.93,208.57,271.50,242.71,86.50,18.14,184.21,178.79,1464.07
"Mitchell Butler",188,77,"University of Memphis",1946,Memphis,Tennessee,4,1,26.25,2,63.25,7.75,1071.25,9.93,0.49,0.20,0.34,5.28,10.58,7.90,9.62,2.12,0.72,16.32,17.15,-0.20,0.63,0.43,0.02,-2.58,-0.75,-3.30,-0.38,140.75,319.75,0.43,17.50,59.00,0.23,123.25,260.75,0.46,0.46,72.50,118.00,0.61,50.50,95.50,146.00,66.75,44.50,11.50,71.00,111.00,371.50
"Mitchell Wiggins",193,83,"Florida State University",1959,"Lenoir County","North Carolina",6,1,27.33,3,64.83,22.50,1350.83,13.17,0.49,0.02,0.24,8.30,8.80,8.57,10.60,2.32,0.22,10.42,21.47,1.08,1.45,2.55,0.08,-0.80,-0.68,-1.47,0.43,266.00,578.00,0.45,2.33,12.17,0.10,263.67,565.83,0.45,0.45,111.83,148.17,0.74,97.50,108.33,205.83,101.50,66.17,5.67,75.50,157.00,646.17
"Mo Howard",188,77,"University of Maryland",1954,Philadelphia,Pennsylvania,1,1,22.00,3,21.33,,230.00,18.07,0.54,,0.30,5.47,7.73,6.60,21.70,2.07,2.03,,,0.20,0.20,0.40,0.13,2.93,-0.23,2.70,0.07,42.67,88.00,0.50,,,,42.67,88.00,0.50,0.50,16.00,23.33,0.72,11.33,14.67,26.00,28.00,11.33,5.33,,34.00,101.33
"Mo Layton",185,81,"University of Southern California",1948,Newark,"New Jersey",3,2,25.00,2,67.00,,1201.33,12.53,0.49,,0.26,1.50,4.80,3.73,21.40,1.20,0.40,,,0.43,0.93,1.33,0.06,0.00,-3.20,-3.20,-0.20,208.33,476.00,0.45,,,,208.33,476.00,0.45,0.45,90.00,119.00,0.76,11.00,36.00,96.00,180.00,21.00,6.00,,144.33,506.67
"Mo Williams",203,102,"University of Notre Dame",1971,Fredericksburg,Virginia,13,2,27.71,8,55.53,36.12,1625.88,14.54,0.52,0.32,0.20,1.83,8.85,5.30,29.56,1.53,0.42,15.65,23.35,1.62,0.94,2.54,0.07,1.05,-2.24,-1.19,0.54,275.47,642.12,0.42,76.00,204.88,0.36,199.47,437.24,0.45,0.48,110.41,127.00,0.87,26.47,125.94,152.41,282.00,48.24,8.53,128.94,136.29,737.35
"Monk Meineke",201,94,"University of Dayton",1930,Dayton,Ohio,5,1,24.20,3,68.60,,1356.40,12.94,0.45,,0.46,,,,,,,,,1.32,1.64,2.98,0.10,,,,,158.00,430.80,0.37,,,,158.00,430.80,0.37,0.37,151.60,200.60,0.74,,,325.20,86.60,,,,209.40,467.60
"Monta Ellis",190,83,,1985,Jackson,Mississippi,12,1,25.57,5,63.64,55.07,2223.64,15.69,0.52,0.18,0.26,1.79,9.41,5.54,22.04,2.32,0.74,13.76,25.02,1.53,1.64,3.19,0.06,0.13,-0.86,-0.74,0.94,440.93,980.57,0.45,57.07,182.14,0.31,383.86,798.43,0.48,0.48,206.71,267.00,0.77,38.57,181.00,219.57,300.14,106.79,21.36,173.07,149.00,1145.64
"Monty Williams",203,102,"University of Notre Dame",1971,Fredericksburg,Virginia,6,1,26.83,3,67.17,17.83,1193.00,12.47,0.52,0.02,0.37,7.75,11.88,9.82,12.13,1.73,1.28,17.23,19.25,0.63,1.22,1.85,0.07,-1.98,0.25,-1.72,0.12,180.33,370.83,0.48,0.67,5.50,0.16,179.67,365.33,0.49,0.48,92.50,139.83,0.63,78.17,123.67,201.83,85.00,38.83,21.67,86.50,139.67,453.83
"Moochie Norris",185,79,"University of West Florida",1973,Washington,"District of Columbia",7,1,29.92,4,44.15,2.69,695.54,10.42,0.45,0.17,0.33,2.87,10.05,6.49,22.55,2.43,0.25,18.45,18.13,0.29,0.55,0.84,0.03,-3.16,-0.55,-3.72,-0.05,73.85,185.31,0.37,10.15,35.77,0.25,63.69,149.54,0.39,0.40,47.62,63.38,0.77,18.00,59.00,77.00,107.38,30.15,2.08,48.23,46.62,205.46
"Mookie Blaylock",183,81,"University of Oklahoma",1967,Garland,Texas,13,1,28.00,3,68.38,61.54,2386.62,15.99,0.48,0.32,0.14,3.41,9.63,6.45,30.45,3.34,0.63,14.78,19.70,2.56,2.98,5.52,0.10,1.62,0.53,2.15,3.01,361.92,884.54,0.40,98.69,293.54,0.31,263.23,591.00,0.44,0.45,97.62,132.62,0.72,78.23,203.23,281.46,459.38,159.62,23.08,159.00,129.77,920.15
"Morlon Wiley",193,83,"California State University, Long Beach",1966,"New Orleans",Louisiana,4,1,25.91,5,31.64,6.73,474.18,11.39,0.51,0.42,0.11,2.01,9.61,5.68,27.22,2.63,0.57,20.82,15.72,0.15,0.30,0.46,0.05,-1.58,-1.13,-2.71,-0.06,50.00,121.45,0.43,19.36,54.18,0.31,30.64,67.27,0.51,0.50,11.27,16.36,0.67,11.91,31.91,43.82,89.64,28.45,1.73,35.36,53.18,130.64
"Morris Peterson",201,98,"Michigan State University",1977,Flint,Michigan,10,2,27.50,2,70.70,48.80,1934.30,12.82,0.53,0.44,0.20,3.28,12.28,7.70,8.68,1.71,0.50,8.72,18.65,2.21,1.35,3.57,0.09,0.48,-1.02,-0.52,0.98,274.50,656.20,0.42,100.90,270.10,0.37,173.60,386.10,0.45,0.50,112.50,145.60,0.74,56.90,191.10,248.00,108.90,63.90,13.60,71.60,160.10,762.40
"Moses Malone*",208,97,,1955,Petersburg,Virginia,17,1,28.21,7,72.79,65.33,2490.74,20.61,0.56,0.01,0.58,15.72,23.05,19.38,5.65,1.10,2.14,14.41,25.39,6.21,3.03,9.23,0.16,1.37,-0.66,0.72,2.45,515.68,1050.42,0.49,0.50,5.57,0.08,515.32,1046.32,0.49,0.49,462.63,603.53,0.76,375.05,529.79,904.84,98.53,60.68,100.16,236.44,175.26,1494.37
"Muggsy Bogues",160,61,"Wake Forest University",1965,Baltimore,Maryland,12,1,29.43,5,67.21,41.93,1920.57,15.05,0.51,0.06,0.22,2.12,7.74,4.93,36.61,2.96,0.09,18.04,14.12,2.54,1.45,4.00,0.10,-0.46,-1.01,-1.44,0.33,212.86,465.36,0.45,7.86,28.21,0.18,205.00,437.14,0.46,0.46,80.07,96.43,0.85,39.86,134.43,174.29,502.36,102.29,3.00,109.14,116.64,513.64
"Mychal Thompson",208,102,"University of Minnesota",1955,Nassau,Bahamas,12,2,30.64,4,72.64,38.42,2118.14,14.95,0.53,0.00,0.37,9.07,18.15,13.64,9.46,1.19,2.16,14.44,20.30,1.92,2.49,4.41,0.10,-0.79,0.48,-0.30,1.26,396.43,793.07,0.50,0.15,1.08,0.17,396.29,792.07,0.50,0.50,189.00,286.00,0.67,169.07,356.86,525.93,161.14,53.29,81.71,159.86,206.71,982.00
"Nando De",206,97,,1968,,,2,2,25.75,3,41.50,3.00,477.00,12.58,0.52,0.35,0.22,3.38,13.28,8.50,20.82,2.25,0.82,18.88,18.28,0.15,0.70,0.82,0.09,-1.25,0.65,-0.60,0.15,58.25,136.75,0.42,16.75,47.00,0.35,41.50,89.75,0.45,0.48,24.25,28.50,0.87,12.75,58.25,71.00,67.00,21.25,4.50,37.75,45.75,157.50
"Nat Clifton*",198,99,"Xavier University of Louisiana",1922,"Little Rock",Arkansas,7,1,32.00,2,68.43,,2052.71,14.00,0.42,,0.34,,,,,,,,,0.11,2.09,2.20,0.05,,,,,267.29,730.00,0.37,,,,267.29,730.00,0.37,0.37,162.86,251.14,0.65,,,568.29,172.14,,,,224.43,697.43
"Nate Bowman",208,104,"Wichita State University",1943,"Fort Worth",Texas,2,1,25.50,1,74.00,,675.50,9.05,0.41,,0.30,,,,9.35,,,,,-0.75,1.40,0.65,0.04,,,,,90.00,230.50,0.39,,,,90.00,230.50,0.39,0.39,35.00,70.00,0.50,,,238.50,49.50,,,,165.50,215.00
"Nate Hawthorne",193,86,"Southern Illinois University",1950,"Mt. Vernon",Illinois,2,1,25.50,1,64.50,,881.00,12.50,0.47,,0.37,6.95,10.70,8.75,7.60,1.75,1.25,,,0.00,0.75,0.80,0.04,-2.90,-1.90,-4.80,-0.65,150.00,355.00,0.42,,,,150.00,355.00,0.42,0.42,88.00,132.00,0.66,60.00,90.50,150.50,42.50,31.50,18.00,,120.50,388.00
"Nate McMillan",196,88,"North Carolina State University",1964,Raleigh,"North Carolina",11,2,27.00,1,70.73,33.82,1834.82,14.36,0.51,0.24,0.28,4.88,13.48,9.17,30.03,3.82,1.11,23.75,12.47,1.70,2.80,4.49,0.12,0.46,2.55,3.02,2.32,164.55,369.91,0.44,25.73,76.00,0.31,138.82,293.91,0.47,0.48,69.82,107.45,0.64,82.36,206.91,289.27,439.82,139.09,32.00,134.00,215.18,424.64
"Nate Robinson",175,81,"University of Washington",1984,Seattle,Washington,10,1,26.06,8,48.31,7.50,1035.88,13.49,0.50,0.43,0.20,2.72,8.05,5.42,23.22,1.91,0.24,12.01,23.55,1.22,0.74,1.96,0.07,0.99,-2.33,-1.33,0.52,181.94,433.38,0.40,62.13,174.31,0.35,119.81,259.06,0.44,0.47,74.81,94.63,0.77,27.81,78.19,106.00,137.06,40.00,3.38,65.44,111.50,500.81
"Nate Thurmond*",211,102,"Bowling Green State University",1941,Akron,Ohio,14,2,29.19,5,65.13,,2329.63,15.58,0.46,,0.39,8.98,24.05,16.37,10.20,0.75,3.78,,,1.01,4.03,5.02,0.10,-2.78,3.03,0.25,1.12,353.94,840.13,0.42,,,,353.94,840.13,0.42,0.42,216.06,325.75,0.63,143.17,354.50,929.94,166.81,24.50,108.50,,174.00,923.94
"Nate Williams",196,97,"Utah State University",1950,Columbia,Louisiana,8,2,24.83,5,66.67,,1505.25,15.18,0.50,,0.20,5.49,11.60,8.56,10.22,2.21,0.84,10.52,25.08,1.16,1.31,2.48,0.08,-0.31,-1.04,-1.37,0.28,338.67,738.58,0.46,,,,338.67,738.58,0.46,0.46,119.58,147.75,0.81,76.20,153.70,250.83,98.50,69.70,20.00,64.75,195.67,796.92
"Nate Wolters",193,86,"South Dakota State University",1991,"St. Cloud",Minnesota,1,1,22.00,1,58.00,31.00,1309.00,12.70,0.49,0.16,0.23,2.80,10.50,6.50,23.30,1.40,0.90,11.70,16.80,0.90,0.20,1.20,0.04,-1.40,-2.10,-3.40,-0.50,170.00,389.00,0.44,18.00,62.00,0.29,152.00,327.00,0.47,0.46,59.00,90.00,0.66,33.00,116.00,149.00,187.00,35.00,15.00,57.00,67.00,417.00
"Nazr Mohammed",208,100,"University of Kentucky",1977,Chicago,Illinois,12,1,28.86,9,55.50,23.68,1001.50,15.51,0.52,0.00,0.32,13.65,21.20,17.45,4.09,1.48,3.14,13.65,19.28,0.90,1.41,2.30,0.11,-2.35,0.14,-2.21,0.00,157.23,316.68,0.49,0.00,0.55,0.00,157.23,316.14,0.49,0.49,66.00,103.05,0.62,116.09,183.91,300.00,24.45,27.95,39.55,57.73,131.86,380.45
"Neal Walk",208,99,"University of Florida",1948,Cleveland,Ohio,7,1,24.44,4,69.33,,1646.89,15.92,0.49,,0.26,7.96,23.04,15.32,13.18,1.28,0.98,,,1.73,1.77,3.49,0.09,-0.46,-0.04,-0.52,0.82,344.22,755.78,0.45,,,,344.22,755.78,0.45,0.45,153.44,201.67,0.78,103.00,277.80,522.67,147.89,34.60,25.00,,215.89,841.89
"Negele Knight",185,79,"University of Dayton",1967,Detroit,Michigan,5,1,25.67,5,42.44,12.44,733.67,10.26,0.46,0.06,0.23,2.60,5.13,3.89,23.79,1.22,1.23,15.38,19.76,0.38,0.42,0.81,0.03,-3.33,-2.63,-5.94,-0.43,108.67,246.67,0.42,4.44,15.89,0.24,104.22,230.78,0.42,0.43,54.33,72.22,0.76,18.00,38.56,56.56,121.78,19.67,5.11,54.78,65.44,276.11
"Neil Johnson",203,95,"Ohio State University",1929,Chillicothe,Ohio,2,1,24.00,2,65.50,,920.50,11.25,0.47,,0.49,,,,11.15,,,,,0.65,0.35,1.00,0.03,,,,,118.00,269.50,0.41,,,,118.00,269.50,0.41,0.41,83.50,131.50,0.64,,,281.50,86.00,,,,158.00,319.50
"Neil Johnston*",203,95,"Ohio State University",1929,Chillicothe,Ohio,7,1,25.00,1,69.71,,2557.86,24.27,0.53,,0.59,,,,,,,,,10.54,2.51,13.04,0.24,,,,,464.14,1038.71,0.45,,,,464.14,1038.71,0.45,0.45,478.29,622.71,0.76,,,816.71,178.29,,,,233.00,1406.57
"Nelson Bobb",183,77,"Temple University",1924,Philadelphia,Pennsylvania,2,1,27.50,1,58.50,,1239.00,12.20,0.43,,0.53,,,,,,,,,0.95,0.60,1.60,0.06,,,,,114.50,312.00,0.37,,,,114.50,312.00,0.37,0.37,102.00,164.50,0.62,,,152.00,180.00,,,,171.50,331.00
"Nenad Krstic",213,108,,1983,Kraljevo,Serbia,7,2,24.67,4,54.44,48.89,1346.44,13.38,0.54,0.00,0.31,8.67,16.86,12.80,5.24,0.80,1.90,10.77,19.12,1.24,1.58,2.83,0.10,-2.42,-0.53,-2.91,-0.20,217.22,438.33,0.49,0.22,1.56,0.09,217.00,436.78,0.50,0.50,97.00,131.89,0.75,99.56,188.89,288.44,41.44,20.89,34.56,61.44,159.44,531.67
"Nene Hilario",211,113,,1982,"Sao Carlos",Brazil,13,2,27.67,4,59.53,43.47,1651.60,17.65,0.58,0.01,0.49,7.41,19.54,13.50,11.73,2.03,2.33,15.51,20.43,2.43,2.36,4.78,0.14,-0.19,1.83,1.65,1.69,277.40,505.80,0.55,0.47,3.40,0.08,276.93,502.40,0.55,0.55,169.27,255.27,0.66,108.87,273.27,382.13,114.20,68.53,47.80,114.13,184.80,724.53
"Nerlens Noel",211,103,"University of Kentucky",1994,Malden,Massachusetts,3,1,21.40,3,48.80,34.20,1274.00,18.46,0.58,0.00,0.36,9.22,22.14,15.46,8.88,3.00,4.28,14.46,17.70,0.84,2.16,3.00,0.14,-1.60,3.86,2.26,1.14,195.20,371.60,0.55,0.20,0.80,0.17,195.00,370.80,0.55,0.55,85.60,135.80,0.66,105.00,243.20,348.20,70.00,76.20,68.80,81.20,130.40,476.20
"Nick Anderson",198,92,"University of Illinois at Urbana-Champaign",1968,Chicago,Illinois,11,2,27.00,2,69.45,57.82,2230.36,15.92,0.53,0.31,0.25,4.65,13.89,9.25,12.97,2.25,0.93,10.97,21.45,2.59,2.48,5.06,0.11,1.34,0.31,1.66,2.16,398.27,887.09,0.45,93.82,261.55,0.33,304.45,625.55,0.48,0.50,148.82,222.91,0.64,91.55,272.64,364.18,187.27,99.82,32.18,121.55,133.82,1039.18
"Nick Calathes",198,96,"University of Florida",1989,Casselberry,Florida,2,1,24.50,1,64.50,3.50,1005.50,12.30,0.48,0.18,0.21,2.45,11.65,7.05,26.55,3.45,0.55,20.70,17.70,-0.25,1.55,1.30,0.06,-2.00,1.30,-0.70,0.35,123.00,279.00,0.44,15.00,52.00,0.28,108.00,227.00,0.47,0.46,34.00,58.50,0.57,21.00,100.50,121.50,176.50,64.50,6.50,81.00,108.50,295.00
"Nick Collison",208,115,"University of Kansas",1980,"Orange City",Iowa,12,2,29.50,2,72.92,14.75,1533.33,12.77,0.57,0.03,0.31,11.05,17.18,14.18,7.85,1.26,1.89,16.88,12.99,2.18,1.49,3.66,0.11,-0.48,0.92,0.44,0.95,182.08,342.00,0.53,1.75,8.33,0.07,180.33,333.67,0.54,0.54,75.33,103.67,0.72,145.83,241.67,387.50,76.92,37.00,38.92,72.25,206.92,441.25
"Nick Fazekas",211,106,"University of Nevada, Reno",1985,Denver,Colorado,1,1,22.00,3,17.33,0.00,179.33,17.73,0.53,0.02,0.18,14.10,24.10,19.17,5.10,1.07,2.10,8.47,20.53,0.33,0.23,0.53,0.11,-3.13,-2.60,-5.70,0.10,30.67,54.67,0.51,0.00,1.33,0.00,30.67,53.33,0.52,0.51,10.00,14.67,0.68,22.67,36.67,59.33,7.33,5.33,7.33,8.67,16.67,71.33
"Nick Jones",188,86,"University of Oregon",1945,,,2,2,23.50,2,61.50,,893.00,10.65,0.45,,0.29,,,4.10,16.65,,,,,0.10,0.60,0.75,0.03,,,,,155.50,377.50,0.40,,,,155.50,377.50,0.40,0.40,83.00,110.00,0.77,,,88.50,101.00,,,,138.00,394.00
"Nick Mantis",190,86,"Northwestern University",1935,,,1,1,27.00,3,28.00,,456.00,7.27,0.40,,0.28,,,,,,,,,-0.47,0.13,-0.33,-0.03,,,,,62.67,162.67,0.39,,,,62.67,162.67,0.39,0.39,18.00,32.67,0.49,,,56.67,55.33,,,,62.67,143.33
"Nick Van",211,113,,1970,,,13,3,28.27,7,63.47,47.73,2097.67,15.70,0.50,0.37,0.20,1.39,8.79,5.08,31.51,1.23,0.23,12.55,22.43,3.19,0.82,4.02,0.09,2.13,-2.67,-0.55,0.87,342.47,845.60,0.40,109.80,308.53,0.35,232.67,537.07,0.43,0.47,137.27,172.80,0.79,26.87,159.73,186.60,417.00,51.33,6.87,133.73,98.93,932.00
